Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
T D  212P FUNDMNTL PROJ DANCE PERF & REP         ,25685,"(('MWF', '3:30 p.m.-5:30 p.m.'), ('TTH', '3:30 p.m.-5:30 p.m.'))",WIN 1.172WIN 1.172,Face-to-face,"GIONFRIDDO, ERICA LYNNMEADOR, RACHEL EVALENTIN-MARTINEZ, JOELMONTEIRO, ANGELICA",open; reserved,,
T D  222P PROJECTS IN DANCE PERF AND REP         ,25820,"(('MWF', '3:30 p.m.-5:30 p.m.'), ('TTH', '3:30 p.m.-5:30 p.m.'))",RSC 1.104RSC 1.104,Face-to-face,"MEADOR, RACHEL EGIONFRIDDO, ERICA LYNNVALENTIN-MARTINEZ, JOELMONTEIRO, ANGELICA",open; reserved,,
T D  232Q ADV PROJ IN DNC PERF & REP II         ,25925,"(('MWF', '3:30 p.m.-5:30 p.m.'), ('TTH', '3:30 p.m.-5:30 p.m.'))",BEL 502ABEL 502A,Face-to-face,"GIONFRIDDO, ERICA LYNNMONTEIRO, ANGELICAVALENTIN-MARTINEZ, JOELMEADOR, RACHEL E",open; reserved,,
M  408D SEQ/SERIES/MULTIVAR CALC-WB         ,53295,"(('MWF', '4:00 p.m.-5:00 p.m.'), ('TTH', '11:30 a.m.-12:30 p.m.'))",,Internet,"STEPP, ELIZABETH F",open,,
M  408D SEQ/SERIES/MULTIVAR CALC-WB         ,53300,"(('MWF', '4:00 p.m.-5:00 p.m.'), ('TTH', '4:30 p.m.-5:30 p.m.'))",,Internet,"STEPP, ELIZABETH F",open,,
M  408Q DIFF/INTEG CALC FOR BUSINESS         ,53420,"(('MWF', '3:00 p.m.-4:00 p.m.'), ('TTH', '1:00 p.m.-2:00 p.m.'))",GSB 2.126WAG 201,Face-to-face,,open,Quantitative Reasoning,Mathematics
E M  319 MECHANICS OF SOLIDS         ,14615,"(('MWF', '3:00 p.m.-4:00 p.m.'), ('W', '4:00 p.m.-6:00 p.m.'))",PAI 3.02PMA 5.114,Face-to-face,,open; reserved,,
E M  319 MECHANICS OF SOLIDS         ,14620,"(('MWF', '3:00 p.m.-4:00 p.m.'), ('TH', '4:00 p.m.-6:00 p.m.'))",PAI 3.02PMA 5.114,Face-to-face,,open; reserved,,
E M  319 MECHANICS OF SOLIDS         ,14625,"(('MWF', '3:00 p.m.-4:00 p.m.'), ('W', '6:00 p.m.-8:00 p.m.'))",PAI 3.02ECJ 1.222,Face-to-face,,open; reserved,,
E M  319 MECHANICS OF SOLIDS         ,14630,"(('MWF', '3:00 p.m.-4:00 p.m.'), ('TH', '6:00 p.m.-8:00 p.m.'))",PAI 3.02ECJ 1.306,Face-to-face,,open; reserved,,
HIS  329U PERSPECTIVES ON SCIENCE & MATH         ,38045,"(('MWF', '3:00 p.m.-4:00 p.m.'), ('M', '4:00 p.m.-5:00 p.m.'))",PAI 4.08PAI 4.08,Face-to-face,"RABY, MEGAN MARGARET",open; reserved,Writing,Social and Behavioral Sciences
"M  408D SEQ, SERIES, AND MULTIVAR CALC         ",53275,"(('MWF', '3:00 p.m.-4:00 p.m.'), ('TTH', '8:30 a.m.-9:30 a.m.'))",CPE 2.208PMA 6.104,Face-to-face,,open,,
"M  408D SEQ, SERIES, AND MULTIVAR CALC         ",53280,"(('MWF', '3:00 p.m.-4:00 p.m.'), ('TTH', '3:30 p.m.-4:30 p.m.'))",CPE 2.208CPE 2.212,Face-to-face,,open,,
M  408Q DIFF/INTEG CALC FOR BUSINESS         ,53415,"(('MWF', '3:00 p.m.-4:00 p.m.'), ('TTH', '8:00 a.m.-9:00 a.m.'))",GSB 2.126GSB 2.122,Face-to-face,,open,Quantitative Reasoning,Mathematics
C E  357 GEOTECHNICAL ENGINEERING         ,16080,"(('MWF', '3:00 p.m.-4:00 p.m.'), ('W', '12:00 p.m.-3:00 p.m.'))",CPE 2.216ECJ B.140,Face-to-face,"CLARA SARACHO, ALEXANDRA",open; reserved,,
C E  357 GEOTECHNICAL ENGINEERING         ,16085,"(('MWF', '3:00 p.m.-4:00 p.m.'), ('F', '12:00 p.m.-3:00 p.m.'))",CPE 2.216ECJ B.140,Face-to-face,"CLARA SARACHO, ALEXANDRA",open; reserved,,
C E  357 GEOTECHNICAL ENGINEERING         ,16090,"(('MWF', '3:00 p.m.-4:00 p.m.'), ('T', '3:00 p.m.-6:00 p.m.'))",CPE 2.216ECJ B.140,Face-to-face,"CLARA SARACHO, ALEXANDRA",open; reserved,,
C E  357 GEOTECHNICAL ENGINEERING         ,16095,"(('MWF', '3:00 p.m.-4:00 p.m.'), ('TH', '3:00 p.m.-6:00 p.m.'))",CPE 2.216ECJ B.140,Face-to-face,"CLARA SARACHO, ALEXANDRA",open; reserved,,
PHY  301 MECHANICS         ,55015,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('M', '8:00 a.m.-9:00 a.m.'))",,Face-to-face,,cancelled,Quantitative Reasoning,"Natural Science and Technology, Part I"
PHY  301 MECHANICS         ,55020,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('M', '9:00 a.m.-10:00 a.m.'))",,Face-to-face,,cancelled,Quantitative Reasoning,"Natural Science and Technology, Part I"
PHY  301 MECHANICS         ,55025,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('M', '10:00 a.m.-11:00 a.m.'))",,Face-to-face,,cancelled,Quantitative Reasoning,"Natural Science and Technology, Part I"
PHY  301 MECHANICS         ,55030,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('M', '11:00 a.m.-12:00 p.m.'))",,Face-to-face,,cancelled,Quantitative Reasoning,"Natural Science and Technology, Part I"
M  408D SEQ/SERIES/MULTIVAR CALC-WB         ,53265,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('TTH', '2:00 p.m.-3:00 p.m.'))",,Internet,"STEPP, ELIZABETH F",open,,
M  408D SEQ/SERIES/MULTIVAR CALC-WB         ,53270,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('TTH', '4:00 p.m.-5:00 p.m.'))",,Internet,"STEPP, ELIZABETH F",open,,
M  408L INTEGRAL CALCULUS         ,53345,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('TTH', '3:30 p.m.-4:30 p.m.'))",ETC 2.108CPE 2.220,Face-to-face,,open,Quantitative Reasoning,
M  408L INTEGRAL CALCULUS         ,53350,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('TTH', '5:00 p.m.-6:00 p.m.'))",ETC 2.108CPE 2.212,Face-to-face,,open,Quantitative Reasoning,
M  408Q DIFF/INTEG CALC FOR BUSINESS         ,53405,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('TTH', '12:30 p.m.-1:30 p.m.'))",GSB 2.126PMA 5.104,Face-to-face,,open; reserved,Quantitative Reasoning,Mathematics
M  408Q DIFF/INTEG CALC FOR BUSINESS         ,53410,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('TTH', '2:30 p.m.-3:30 p.m.'))",GSB 2.126PMA 5.104,Face-to-face,,open; reserved,Quantitative Reasoning,Mathematics
M  427J DIFF EQNS WITH LINEAR ALGEBRA         ,53590,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('TTH', '4:00 p.m.-5:00 p.m.'))",PMA 4.102ETC 2.108,Face-to-face,,open,Quantitative Reasoning,
M  427L ADV CALCULUS FOR APPLICATNS II         ,53630,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('TTH', '3:00 p.m.-4:00 p.m.'))",RLP 0.126ETC 2.108,Face-to-face,,open,,
HEB  611C INTENSIVE HEBREW II         ,39765,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('TTH', '2:00 p.m.-3:30 p.m.'))",CAL 419CMA 5.190,Face-to-face,,open,,
HEB  381J INTENSV GRAD LANG INSTRUCTN II         ,39780,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('TTH', '2:00 p.m.-3:30 p.m.'))",CAL 419CMA 5.190,Face-to-face,,open,,
JPN  601D JAPANESE I         ,32295,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('TTH', '11:00 a.m.-12:30 p.m.'))",MEZ 1.204GAR 2.112,Face-to-face,"SANO, RYOSUKE",open,,
KOR  612 ACCELERATED SECOND-YEAR KOREAN         ,32450,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('TTH', '2:00 p.m.-3:30 p.m.'))",MEZ 1.118CBA 4.338,Face-to-face,"MCCOY-BAE, ALICE KYUNG",open,,
BIO  325 GENETICS         ,48040,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('TH', '3:30 p.m.-4:30 p.m.'))",CPE 2.208GDC 2.210,Face-to-face,"KIM, GOHEUN",open,,
BIO  325 GENETICS         ,48045,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('TH', '4:30 p.m.-5:30 p.m.'))",CPE 2.208GDC 2.210,Face-to-face,"KIM, GOHEUN",open,,
BIO  311C INTRODUCTORY BIOLOGY I         ,47295,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('F', '12:00 p.m.-1:00 p.m.'))",BUR 108GDC 2.410,Face-to-face,"FRITZ, JENNIFER H",open,,"Natural Science and Technology, Part I"
BIO  311C INTRODUCTORY BIOLOGY I         ,47300,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('TH', '3:30 p.m.-4:30 p.m.'))",BUR 108GDC 2.410,Face-to-face,"FRITZ, JENNIFER H",open,,"Natural Science and Technology, Part I"
BIO  311C INTRODUCTORY BIOLOGY I         ,47305,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('TH', '4:30 p.m.-5:15 p.m.'))",BUR 108JGB 2.202,Face-to-face,"FRITZ, JENNIFER H",open,,"Natural Science and Technology, Part I"
BIO  325 GENETICS         ,48030,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('TH', '12:30 p.m.-1:30 p.m.'))",CPE 2.208PHR 2.116,Face-to-face,"KIM, GOHEUN",open,,
BIO  325 GENETICS         ,48035,"(('MWF', '2:00 p.m.-3:00 p.m.'), ('TH', '2:00 p.m.-3:00 p.m.'))",CPE 2.208ECJ 1.306,Face-to-face,"KIM, GOHEUN",open,,
WGS  324C GENDER AND MEDIA CULTURE         ,44475,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('M', '7:30 p.m.-10:00 p.m.'))",CMA 3.120CMA 3.120,Face-to-face,"NAULT, CURRAN J",open; reserved,,
RTF  307 MEDIA AND SOCIETY         ,09120,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('M', '6:00 p.m.-7:00 p.m.'))",CMA 2.306DMC 3.204,Face-to-face,"SEBRO, ADRIEN P",open,,
RTF  307 MEDIA AND SOCIETY         ,09125,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('M', '6:00 p.m.-7:00 p.m.'))",CMA 2.306DMC 3.206,Face-to-face,"SEBRO, ADRIEN P",open,,
RTF  307 MEDIA AND SOCIETY         ,09130,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('M', '6:00 p.m.-7:00 p.m.'))",CMA 2.306DMC 4.204,Face-to-face,"SEBRO, ADRIEN P",open,,
RTF  307 MEDIA AND SOCIETY         ,09135,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('M', '6:00 p.m.-7:00 p.m.'))",CMA 2.306DMC 4.212,Face-to-face,"SEBRO, ADRIEN P",open,,
RTF  307 MEDIA AND SOCIETY         ,09140,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('M', '7:00 p.m.-8:00 p.m.'))",CMA 2.306DMC 3.204,Face-to-face,"SEBRO, ADRIEN P",open,,
RTF  307 MEDIA AND SOCIETY         ,09145,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('M', '7:00 p.m.-8:00 p.m.'))",CMA 2.306DMC 3.206,Face-to-face,"SEBRO, ADRIEN P",open,,
RTF  307 MEDIA AND SOCIETY         ,09150,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('M', '7:00 p.m.-8:00 p.m.'))",CMA 2.306DMC 4.204,Face-to-face,"SEBRO, ADRIEN P",open,,
RTF  307 MEDIA AND SOCIETY         ,09155,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('M', '7:00 p.m.-8:00 p.m.'))",CMA 2.306DMC 4.212,Face-to-face,"SEBRO, ADRIEN P",open,,
MUS  302L INTRODUCTION TO WESTERN MUSIC         ,21935,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('T', '5:00 p.m.-6:00 p.m.'))",MRH 2.608MRH M3.114,Face-to-face,,open,Global Cultures,Visual and Performing Arts
MUS  302L INTRODUCTION TO WESTERN MUSIC         ,21940,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('T', '5:00 p.m.-6:00 p.m.'))",MRH 2.608MRH 4.116,Face-to-face,,open,Global Cultures,Visual and Performing Arts
MUS  302L INTRODUCTION TO WESTERN MUSIC         ,21945,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TH', '5:00 p.m.-6:00 p.m.'))",MRH 2.608MRH M3.114,Face-to-face,,open,Global Cultures,Visual and Performing Arts
MUS  302L INTRODUCTION TO WESTERN MUSIC         ,21950,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TH', '5:00 p.m.-6:00 p.m.'))",MRH 2.608MRH 4.116,Face-to-face,,open,Global Cultures,Visual and Performing Arts
MUS  302L INTRODUCTION TO WESTERN MUSIC         ,21955,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('T', '6:00 p.m.-7:00 p.m.'))",MRH 2.608MRH M3.114,Face-to-face,,open,Global Cultures,Visual and Performing Arts
MUS  302L INTRODUCTION TO WESTERN MUSIC         ,21960,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TH', '6:00 p.m.-7:00 p.m.'))",MRH 2.608MRH M3.114,Face-to-face,,open,Global Cultures,Visual and Performing Arts
"M  408D SEQ, SERIES, AND MULTIVAR CALC         ",53255,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TTH', '1:00 p.m.-2:00 p.m.'))",CPE 2.214CPE 2.206,Face-to-face,,open,,
"M  408D SEQ, SERIES, AND MULTIVAR CALC         ",53260,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TTH', '4:00 p.m.-5:00 p.m.'))",CPE 2.214BUR 220,Face-to-face,,open,,
M  408Q DIFF/INTEG CALC FOR BUSINESS         ,53395,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TTH', '8:30 a.m.-9:30 a.m.'))",GSB 2.126PMA 5.104,Face-to-face,,open; reserved,Quantitative Reasoning,Mathematics
M  408Q DIFF/INTEG CALC FOR BUSINESS         ,53400,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TTH', '3:30 p.m.-4:30 p.m.'))",GSB 2.126UTC 1.130,Face-to-face,,open; reserved,Quantitative Reasoning,Mathematics
M  408S INTEGRAL CALCULUS FOR SCIENCE         ,53445,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TTH', '1:00 p.m.-2:00 p.m.'))",RLP 0.130WEL 2.310,Face-to-face,,open; reserved,Quantitative Reasoning,
M  408S INTEGRAL CALCULUS FOR SCIENCE         ,53450,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TTH', '3:30 p.m.-4:30 p.m.'))",RLP 0.130PMA 7.104,Face-to-face,,open; reserved,Quantitative Reasoning,
M  427J DIFF EQNS WITH LINEAR ALGEBRA         ,53585,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TTH', '3:30 p.m.-4:30 p.m.'))",PMA 4.102GEA 105,Face-to-face,,open,Quantitative Reasoning,
ITL  611C INTERMEDIATE ITALIAN         ,35885,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TTH', '12:30 p.m.-2:00 p.m.'))",MEZ 1.202MEZ B0.302,Face-to-face,,open,,
JPN  601D JAPANESE I         ,32285,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TTH', '12:30 p.m.-2:00 p.m.'))",PAR 10BEN 1.108,Face-to-face,"HATANAKA, JUNKO",open,,
JPN  601D JAPANESE I         ,32290,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TTH', '11:00 a.m.-12:30 p.m.'))",PAR 306GAR 2.112,Face-to-face,"SANO, RYOSUKE",open,,
JPN  610D JAPANESE II         ,32325,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TTH', '2:00 p.m.-3:30 p.m.'))",MEZ 1.118MEZ 1.204,Face-to-face,"SUITO, NAOKO",open,,
EUS  307M INTRODUCTION TO WESTERN MUSIC         ,35365,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('T', '5:00 p.m.-6:00 p.m.'))",MRH 2.608MRH M3.114,Face-to-face,,open,Global Cultures,Visual and Performing Arts
EUS  307M INTRODUCTION TO WESTERN MUSIC         ,35370,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TH', '5:00 p.m.-6:00 p.m.'))",MRH 2.608MRH M3.114,Face-to-face,,open,Global Cultures,Visual and Performing Arts
EUS  307M INTRODUCTION TO WESTERN MUSIC         ,35375,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('T', '6:00 p.m.-7:00 p.m.'))",MRH 2.608MRH M3.114,Face-to-face,,open,Global Cultures,Visual and Performing Arts
EUS  307M INTRODUCTION TO WESTERN MUSIC         ,35380,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TH', '6:00 p.m.-7:00 p.m.'))",MRH 2.608MRH M3.114,Face-to-face,,open,Global Cultures,Visual and Performing Arts
EVE  370 DSGN ENV COMMUNITY IMPROVMT         ,16500,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TH', '3:30 p.m.-5:30 p.m.'))",BUR 136BUR 134,Face-to-face,"WERTH, CHARLES J",open; reserved,Independent Inquiry,
COE  321K COMP MTHDS FOR STRUCT ANLYS         ,14405,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('M', '4:30 p.m.-6:30 p.m.'))",ASE 1.126ASE 1.126,Face-to-face,"MEAR, MARK E",open; reserved,Quantitative Reasoning,
E M  311M DYNAMICS         ,14540,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('M', '4:00 p.m.-6:00 p.m.'))",ETC 2.108PMA 5.116,Face-to-face,"CONNOLLY, THOMAS J",open; reserved,,
E M  311M DYNAMICS         ,14545,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('T', '4:00 p.m.-6:00 p.m.'))",ETC 2.108CMA 3.114,Face-to-face,"CONNOLLY, THOMAS J",open; reserved,,
E M  311M DYNAMICS         ,14550,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('M', '6:00 p.m.-8:00 p.m.'))",ETC 2.108ETC 2.132,Face-to-face,"CONNOLLY, THOMAS J",open; reserved,,
E M  311M DYNAMICS         ,14555,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('T', '6:00 p.m.-8:00 p.m.'))",ETC 2.108ETC 2.132,Face-to-face,"CONNOLLY, THOMAS J",open; reserved,,
CHE  319 TRANSPORT PHENOMENA         ,15265,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('W', '4:00 p.m.-6:00 p.m.'))",CPE 2.216CPE 2.216,Face-to-face,"MULLINS, CHARLES B",open; reserved,,
CHE  319 TRANSPORT PHENOMENA         ,15270,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('W', '4:00 p.m.-6:00 p.m.'))",CPE 2.220CPE 2.220,Face-to-face,,open; reserved,,
CHI  606 FIRST-YEAR CHINESE I         ,32080,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TTH', '12:30 p.m.-2:00 p.m.'))",MEZ 2.122MEZ 2.118,Face-to-face,"LIU, BO",open,,
BIO  325H GENETICS: HONORS         ,48065,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('T', '3:30 p.m.-4:30 p.m.'))",,Face-to-face,,cancelled,,"Natural Science and Technology, Part I"
BIO  325H GENETICS: HONORS         ,48110,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('W', '9:00 a.m.-10:00 a.m.'))",WEL 2.110CAL 21,Face-to-face,,open,,"Natural Science and Technology, Part I"
BIO  325H GENETICS: HONORS         ,48115,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('W', '11:00 a.m.-12:00 p.m.'))",WEL 2.110GAR 0.120,Face-to-face,,open,,"Natural Science and Technology, Part I"
BIO  325H GENETICS: HONORS         ,48120,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('T', '2:00 p.m.-3:00 p.m.'))",WEL 2.110CBA 4.336,Face-to-face,,open,,"Natural Science and Technology, Part I"
BIO  326M INTRO MEDICAL MICROBIO/IMMUNOL         ,48275,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('T', '8:30 a.m.-9:30 a.m.'))",BUR 116ETC 2.132,Face-to-face,"SAXENA, PRATIBHA",open,,"Natural Science and Technology, Part I"
BIO  326M INTRO MEDICAL MICROBIO/IMMUNOL         ,48280,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('T', '4:30 p.m.-5:30 p.m.'))",BUR 116WAG 208,Face-to-face,"SAXENA, PRATIBHA",open,,"Natural Science and Technology, Part I"
BIO  326M INTRO MEDICAL MICROBIO/IMMUNOL         ,48285,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('M', '5:00 p.m.-6:00 p.m.'))",BUR 116JES A218A,Face-to-face,"SAXENA, PRATIBHA",open,,"Natural Science and Technology, Part I"
BIO  359K PRINCIPLES OF ANIMAL BEHAVIOR         ,48640,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('F', '9:00 a.m.-10:00 a.m.'))",BUR 208BUR 228,Face-to-face,"MCCLELLAND, BLINDA E",open,,
BIO  359K PRINCIPLES OF ANIMAL BEHAVIOR         ,48645,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('F', '10:00 a.m.-11:00 a.m.'))",BUR 208BIO 301,Face-to-face,"MCCLELLAND, BLINDA E",open,,
BIO  359K PRINCIPLES OF ANIMAL BEHAVIOR         ,48650,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TH', '2:00 p.m.-3:00 p.m.'))",BUR 208ECJ 1.304,Face-to-face,"MCCLELLAND, BLINDA E",open,,
BIO  359K PRINCIPLES OF ANIMAL BEHAVIOR         ,48655,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TH', '3:30 p.m.-4:30 p.m.'))",BUR 208ASE 1.124,Face-to-face,"MCCLELLAND, BLINDA E",open,,
BME  335 ENGR PROBABILITY/STATISTICS         ,14875,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('T', '2:00 p.m.-3:00 p.m.'))",PHR 2.108ECJ 1.306,Face-to-face,"ZHAO, BO",open; reserved,,
BME  335 ENGR PROBABILITY/STATISTICS         ,14880,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('M', '3:00 p.m.-4:00 p.m.'))",PHR 2.108ECJ 1.314,Face-to-face,"ZHAO, BO",open; reserved,,
BME  335 ENGR PROBABILITY/STATISTICS         ,14885,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('M', '4:00 p.m.-5:00 p.m.'))",PHR 2.108ECJ 1.314,Face-to-face,"ZHAO, BO",open; reserved,,
BME  335 ENGR PROBABILITY/STATISTICS         ,14890,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('W', '4:00 p.m.-5:00 p.m.'))",PHR 2.108GAR 1.126,Face-to-face,"ZHAO, BO",open,,
BIO  311C INTRODUCTORY BIOLOGY I         ,47280,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TH', '11:00 a.m.-12:00 p.m.'))",BUR 108,Face-to-face,"FRITZ, JENNIFER H",open,,"Natural Science and Technology, Part I"
BIO  311C INTRODUCTORY BIOLOGY I         ,47285,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TH', '12:30 p.m.-1:30 p.m.'))",BUR 108PMA 5.126,Face-to-face,"FRITZ, JENNIFER H",open,,"Natural Science and Technology, Part I"
BIO  311C INTRODUCTORY BIOLOGY I         ,47290,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TH', '2:00 p.m.-3:00 p.m.'))",BUR 108ECJ 1.308,Face-to-face,"FRITZ, JENNIFER H",open,,"Natural Science and Technology, Part I"
BIO  311C INTRODUCTORY BIOLOGY I         ,47430,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TH', '8:30 a.m.-9:30 a.m.'))",GEA 105WAG 112,Face-to-face,"SATHASIVAN, K SATA",open,,"Natural Science and Technology, Part I"
BIO  311C INTRODUCTORY BIOLOGY I         ,47435,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('F', '9:00 a.m.-10:00 a.m.'))",GEA 105GDC 2.410,Face-to-face,"SATHASIVAN, K SATA",open,,"Natural Science and Technology, Part I"
BIO  311C INTRODUCTORY BIOLOGY I         ,47440,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('F', '10:00 a.m.-11:00 a.m.'))",GEA 105GDC 5.304,Face-to-face,"SATHASIVAN, K SATA",open,,"Natural Science and Technology, Part I"
BIO  311C INTRODUCTORY BIOLOGY I         ,47445,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TH', '11:00 a.m.-12:00 p.m.'))",GEA 105,Face-to-face,"SATHASIVAN, K SATA",open,,"Natural Science and Technology, Part I"
BIO  311C INTRODUCTORY BIOLOGY I         ,47450,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TH', '11:00 a.m.-12:00 p.m.'))",GEA 105,Face-to-face,"SATHASIVAN, K SATA",open,,"Natural Science and Technology, Part I"
BIO  311C INTRODUCTORY BIOLOGY I         ,47455,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('F', '11:00 a.m.-12:00 p.m.'))",GEA 105GDC 5.304,Face-to-face,"SATHASIVAN, K SATA",open,,"Natural Science and Technology, Part I"
BIO  325 GENETICS         ,48010,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TH', '8:30 a.m.-9:30 a.m.'))",CPE 2.208PHR 2.116,Face-to-face,"KIM, GOHEUN",open,,
BIO  325 GENETICS         ,48015,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TH', '9:30 a.m.-10:30 a.m.'))",CPE 2.208PHR 2.116,Face-to-face,"KIM, GOHEUN",open,,
BIO  325 GENETICS         ,48020,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('W', '3:00 p.m.-4:00 p.m.'))",CPE 2.208GAR 0.128,Face-to-face,"KIM, GOHEUN",open,,
BIO  325 GENETICS         ,48025,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('W', '4:00 p.m.-5:00 p.m.'))",CPE 2.208GAR 0.132,Face-to-face,"KIM, GOHEUN",open,,
ARA  611C INTENSIVE ARABIC II         ,39645,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TTH', '2:00 p.m.-3:30 p.m.'))",MEZ 1.206MEZ 1.206,Face-to-face,,open,,
ARA  621L INTENSIVE ARABIC IV         ,39665,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('TTH', '12:30 p.m.-2:00 p.m.'))",MEZ 1.204MEZ 1.122,Face-to-face,,open,,
ASE  374K SPACE SYSTEMS ENGR DESIGN         ,14100,"(('MWF', '1:00 p.m.-2:00 p.m.'), ('F', '2:00 p.m.-5:00 p.m.'))",GLT 1.106ASE 1.112A,Face-to-face,"NOKES, ADAM W",open; reserved,,
PHL  610QB PROBS OF KNOWLEDGE & VALUATION         ,40390,"(('MWF', '12:00 p.m.-1:00 p.m.'), ('F', '10:00 a.m.-11:00 a.m.'))",WAG 302WAG 210,Face-to-face,"DRUCKER, DANIEL",open,,
PHL  610QB PROBS OF KNOWLEDGE & VALUATION         ,40395,"(('MWF', '12:00 p.m.-1:00 p.m.'), ('F', '11:00 a.m.-12:00 p.m.'))",WAG 302WAG 210,Face-to-face,"DRUCKER, DANIEL",open,,
